"","Fecha","CVEGEO","MUNICIPIO","CASOS.ACUMULADOS","CASOS.DIARIOS","DECESOS.ACUMULADOS","DECESOS.DIARIOS"
"1",2020-03-16,26030,"Hermosillo",1,1,NA,NA
"2",2020-03-17,26030,"Hermosillo",1,0,NA,NA
"3",2020-03-18,26030,"Hermosillo",2,1,NA,NA
"4",2020-03-19,26030,"Hermosillo",2,0,NA,NA
"5",2020-03-20,26030,"Hermosillo",2,0,NA,NA
"6",2020-03-21,26030,"Hermosillo",2,0,NA,NA
"7",2020-03-22,26030,"Hermosillo",2,0,NA,NA
"8",2020-03-23,26030,"Hermosillo",2,0,NA,NA
"9",2020-03-24,26030,"Hermosillo",2,0,NA,NA
"10",2020-03-25,26030,"Hermosillo",3,1,NA,NA
"11",2020-03-26,26030,"Hermosillo",3,0,NA,NA
"12",2020-03-27,26030,"Hermosillo",5,2,NA,NA
"13",2020-03-28,26030,"Hermosillo",7,2,NA,NA
"14",2020-03-29,26030,"Hermosillo",8,1,NA,NA
"15",2020-03-30,26030,"Hermosillo",8,0,NA,NA
"16",2020-03-31,26030,"Hermosillo",8,0,NA,NA
"17",2020-04-01,26030,"Hermosillo",11,3,NA,NA
"18",2020-04-02,26030,"Hermosillo",12,1,NA,NA
"19",2020-04-03,26030,"Hermosillo",12,0,NA,NA
"20",2020-04-04,26030,"Hermosillo",12,0,0,0
"21",2020-04-05,26030,"Hermosillo",14,2,0,0
"22",2020-04-06,26030,"Hermosillo",14,0,0,0
"23",2020-04-07,26030,"Hermosillo",15,1,0,0
"24",2020-04-08,26030,"Hermosillo",16,1,0,0
"25",2020-04-09,26030,"Hermosillo",19,3,1,1
"26",2020-04-10,26030,"Hermosillo",19,0,1,0
"27",2020-04-11,26030,"Hermosillo",20,1,1,0
"28",2020-04-12,26030,"Hermosillo",22,2,1,0
"29",2020-04-13,26030,"Hermosillo",24,2,1,0
"30",2020-04-14,26030,"Hermosillo",25,1,1,0
"31",2020-04-15,26030,"Hermosillo",25,0,1,0
"32",2020-04-16,26030,"Hermosillo",25,0,1,0
"33",2020-04-17,26030,"Hermosillo",26,1,1,0
"34",2020-04-18,26030,"Hermosillo",26,0,2,1
"35",2020-04-19,26030,"Hermosillo",27,1,2,0
"36",2020-04-20,26030,"Hermosillo",27,0,2,0
"37",2020-04-21,26030,"Hermosillo",27,0,2,0
"38",2020-04-22,26030,"Hermosillo",29,2,2,0
"39",2020-04-23,26030,"Hermosillo",37,8,2,0
"40",2020-04-24,26030,"Hermosillo",38,1,2,0
"41",2020-04-25,26030,"Hermosillo",38,0,3,1
"42",2020-04-26,26030,"Hermosillo",44,6,3,0
"43",2020-04-27,26030,"Hermosillo",51,7,3,0
"44",2020-04-28,26030,"Hermosillo",55,4,3,0
"45",2020-04-29,26030,"Hermosillo",63,8,3,0
"46",2020-04-30,26030,"Hermosillo",71,8,3,0
"47",2020-05-01,26030,"Hermosillo",74,3,3,0
"48",2020-05-02,26030,"Hermosillo",81,7,3,0
"49",2020-05-03,26030,"Hermosillo",85,4,3,0
"50",2020-05-04,26030,"Hermosillo",100,15,3,0
"51",2020-05-05,26030,"Hermosillo",100,0,3,0
"52",2020-05-06,26030,"Hermosillo",121,21,4,1
"53",2020-05-07,26030,"Hermosillo",123,2,4,0
"54",2020-05-08,26030,"Hermosillo",156,33,4,0
"55",2020-05-09,26030,"Hermosillo",165,9,5,1
"56",2020-05-10,26030,"Hermosillo",172,7,5,0
"57",2020-05-11,26030,"Hermosillo",190,18,5,0
"58",2020-05-12,26030,"Hermosillo",210,20,6,1
"59",2020-05-13,26030,"Hermosillo",227,17,6,0
"60",2020-05-14,26030,"Hermosillo",251,24,7,1
"61",2020-05-15,26030,"Hermosillo",288,37,7,0
"62",2020-05-16,26030,"Hermosillo",292,4,7,0
