Fecha,Casos,Negativos,Sospechosos,Decesos,Casos.Nuevos,Negativos.Nuevos,Sospechosos.Nuevos,Decesos.Nuevos
17/03/2020,93,672,206,,93,672,206,0
18/03/2020,118,787,314,,25,115,108,0
19/03/2020,164,921,448,,46,134,134,0
20/03/2020,203,1111,606,2,39,190,158,2
21/03/2020,251,1493,697,2,48,382,91,0
22/03/2020,316,1667,793,2,65,174,96,0
23/03/2020,367,1865,826,4,51,198,33,2
24/03/2020,405,2161,1219,5,38,296,393,1
25/03/2020,475,2445,1656,6,70,284,437,1
26/03/2020,585,2965,2156,8,110,520,500,2
27/03/2020,717,3542,2475,12,132,577,319,4
28/03/2020,848,4341,2623,16,131,799,148,4
29/03/2020,993,4955,2564,20,145,614,-59,4
30/03/2020,1094,5635,2752,28,101,680,188,8
31/03/2020,1215,6282,3511,29,121,647,759,1
01/04/2020,1378,7073,3827,37,163,791,316,8
02/04/2020,1510,7822,4653,50,132,749,826,13
03/04/2020,1688,8602,5398,60,178,780,745,10
04/04/2020,1890,9467,5827,79,202,865,429,19
05/04/2020,2143,10682,5209,94,253,1215,-618,15
06/04/2020,2439,11741,6295,125,296,1059,1086,31
07/04/2020,2785,15099,7526,141,346,3358,1231,16
08/04/2020,3181,17209,9188,174,396,2110,1662,33
09/04/2020,3441,17950,10105,194,260,741,917,20
10/04/2020,3844,19749,10300,233,403,1799,195,39
11/04/2020,4219,21277,9983,273,375,1528,-317,40
12/04/2020,4661,21943,8697,296,442,666,-1286,23
13/04/2020,5014,23040,9341,332,353,1097,644,36
14/04/2020,5399,23900,10792,406,385,860,1451,74
15/04/2020,5847,25138,11717,449,448,1238,925,43
16/04/2020,6297,26511,12340,486,450,1373,623,37
17/04/2020,6875,28126,13364,546,578,1615,1024,60
18/04/2020,7497,29301,12369,650,622,1175,-995,104
19/04/2020,8261,31170,10139,686,764,1869,-2230,36
20/04/2020,8772,32490,9653,712,511,1320,-486,26
21/04/2020,9501,33871,8262,857,729,1381,-1391,145
22/04/2020,10544,37444,7706,970,1043,3573,-556,113
23/04/2020,11633,39664,7588,1069,1089,2220,-118,99
24/04/2020,12872,41573,7889,1221,1239,1909,301,152
25/04/2020,13842,43419,8239,1305,970,1846,350,84
