"","SEMANA","REPORTE","CVEGEO","MUNICIPIO","CLAS_REG","POB","CASOS_SEMANALES"
"1",12,2020-03-22,"26001","Aconchi","Río Sonora",3025,0
"2",13,2020-03-29,"26001","Aconchi","Río Sonora",3025,0
"3",14,2020-04-05,"26001","Aconchi","Río Sonora",3025,0
"4",15,2020-04-12,"26001","Aconchi","Río Sonora",3025,0
"5",16,2020-04-19,"26001","Aconchi","Río Sonora",3025,0
"6",17,2020-04-26,"26001","Aconchi","Río Sonora",3025,0
"7",18,2020-05-03,"26001","Aconchi","Río Sonora",3025,0
"8",19,2020-05-10,"26001","Aconchi","Río Sonora",3025,0
"9",20,2020-05-17,"26001","Aconchi","Río Sonora",3025,0
"10",21,2020-05-24,"26001","Aconchi","Río Sonora",3025,0
"11",22,2020-05-31,"26001","Aconchi","Río Sonora",3025,0
"12",23,2020-06-07,"26001","Aconchi","Río Sonora",3025,0
"13",24,2020-06-14,"26001","Aconchi","Río Sonora",3025,1
"14",25,2020-06-21,"26001","Aconchi","Río Sonora",3025,0
"15",26,2020-06-28,"26001","Aconchi","Río Sonora",3025,1
"16",27,2020-07-05,"26001","Aconchi","Río Sonora",3025,0
"17",28,2020-07-12,"26001","Aconchi","Río Sonora",3025,0
"18",29,2020-07-19,"26001","Aconchi","Río Sonora",3025,0
"19",30,2020-07-26,"26001","Aconchi","Río Sonora",3025,3
"20",31,2020-08-02,"26001","Aconchi","Río Sonora",3025,1
"21",32,2020-08-09,"26001","Aconchi","Río Sonora",3025,0
"22",33,2020-08-16,"26001","Aconchi","Río Sonora",3025,3
"23",34,2020-08-23,"26001","Aconchi","Río Sonora",3025,0
"24",35,2020-08-30,"26001","Aconchi","Río Sonora",3025,2
"25",36,2020-09-06,"26001","Aconchi","Río Sonora",3025,0
"26",37,2020-09-13,"26001","Aconchi","Río Sonora",3025,0
"27",38,2020-09-20,"26001","Aconchi","Río Sonora",3025,0
"28",39,2020-09-27,"26001","Aconchi","Río Sonora",3025,2
"29",40,2020-10-04,"26001","Aconchi","Río Sonora",3025,2
"30",41,2020-10-11,"26001","Aconchi","Río Sonora",3025,0
"31",42,2020-10-18,"26001","Aconchi","Río Sonora",3025,0
"32",43,2020-10-25,"26001","Aconchi","Río Sonora",3025,1
"33",44,2020-11-01,"26001","Aconchi","Río Sonora",3025,0
"34",45,2020-11-08,"26001","Aconchi","Río Sonora",3025,0
"35",46,2020-11-15,"26001","Aconchi","Río Sonora",3025,4
"36",47,2020-11-22,"26001","Aconchi","Río Sonora",3025,0
"37",48,2020-11-29,"26001","Aconchi","Río Sonora",3025,0
"38",49,2020-12-04,"26001","Aconchi","Río Sonora",3025,0
"39",12,2020-03-22,"26002","Agua Prieta","Sierra Alta",88530,0
"40",13,2020-03-29,"26002","Agua Prieta","Sierra Alta",88530,0
"41",14,2020-04-05,"26002","Agua Prieta","Sierra Alta",88530,0
"42",15,2020-04-12,"26002","Agua Prieta","Sierra Alta",88530,0
"43",16,2020-04-19,"26002","Agua Prieta","Sierra Alta",88530,1
"44",17,2020-04-26,"26002","Agua Prieta","Sierra Alta",88530,0
"45",18,2020-05-03,"26002","Agua Prieta","Sierra Alta",88530,3
"46",19,2020-05-10,"26002","Agua Prieta","Sierra Alta",88530,7
"47",20,2020-05-17,"26002","Agua Prieta","Sierra Alta",88530,3
"48",21,2020-05-24,"26002","Agua Prieta","Sierra Alta",88530,8
"49",22,2020-05-31,"26002","Agua Prieta","Sierra Alta",88530,18
"50",23,2020-06-07,"26002","Agua Prieta","Sierra Alta",88530,23
"51",24,2020-06-14,"26002","Agua Prieta","Sierra Alta",88530,41
"52",25,2020-06-21,"26002","Agua Prieta","Sierra Alta",88530,48
"53",26,2020-06-28,"26002","Agua Prieta","Sierra Alta",88530,70
"54",27,2020-07-05,"26002","Agua Prieta","Sierra Alta",88530,49
"55",28,2020-07-12,"26002","Agua Prieta","Sierra Alta",88530,96
