,Fecha,CVEGEO,MUNICIPIO,CASOS,NUEVOS,Dias_ult,clasfdias,id
60,29/07/2020,26062,Suaqui Grande,1,1,200,1,26062
42,04/08/2020,26044,Ónavas,6,1,194,1,26044
59,15/08/2020,26061,Soyopa,1,1,183,1,26061
23,22/08/2020,26024,Divisaderos,5,1,176,1,26024
57,10/12/2020,26059,Santa Cruz,4,1,66,1,26059
62,14/12/2020,26064,Trincheras,14,1,62,1,26064
31,22/12/2020,26032,Huásabas,6,1,54,1,26032
51,24/12/2020,26053,San Felipe de Jesús,5,1,52,1,26053
33,26/12/2020,26034,Huépac,4,1,50,1,26034
54,07/01/2021,26056,San Miguel de Horcasitas,18,1,38,1,26056
8,15/01/2021,26009,Bacanora,4,2,30,1,26009
14,16/01/2021,26015,Bavispe,7,1,29,1,26015
47,19/01/2021,26049,Quiriego,13,1,26,1,26049
15,20/01/2021,26016,Benjamín Hill,37,1,25,1,26016
21,20/01/2021,26022,Cucurpe,11,1,25,1,26022
37,20/01/2021,26039,Naco,33,1,25,1,26039
66,21/01/2021,26068,Villa Pesqueira,6,1,24,1,26068
7,22/01/2021,26008,Bacadéhuachi,5,1,23,1,26008
27,22/01/2021,26028,Granados,15,1,23,1,26028
43,22/01/2021,26045,Opodepe,3,1,23,1,26045
48,25/01/2021,26050,Rayón,10,1,20,1,26050
1,27/01/2021,26001,Aconchi,30,1,18,1,26001
12,27/01/2021,26013,Banámichi,14,3,18,1,26013
20,27/01/2021,26021,La Colorada,2,1,18,1,26021
26,28/01/2021,26027,Fronteras,43,1,17,1,26027
36,31/01/2021,26038,Moctezuma,63,2,14,1,26038
38,31/01/2021,26040,Nácori Chico,25,1,14,1,26040
44,31/01/2021,26046,Oquitoa,3,1,14,1,26046
61,31/01/2021,26063,Tepache,10,1,14,1,26063
64,31/01/2021,26066,Ures,88,1,14,1,26066
4,01/02/2021,26004,Altar,70,1,13,1,26004
65,01/02/2021,26067,Villa Hidalgo,15,1,13,1,26067
9,04/02/2021,26010,Bacerac,8,2,10,1,26010
68,04/02/2021,26070,General Plutarco Elías Calles,185,1,10,1,26070
52,05/02/2021,26054,San Javier,6,2,9,1,26054
5,06/02/2021,26005,Arivechi,20,2,8,1,26005
10,06/02/2021,26011,Bacoachi,48,1,8,1,26011
6,08/02/2021,26006,Arizpe,32,1,6,1,26006
39,08/02/2021,26041,Nacozari de García,312,1,6,1,26041
58,08/02/2021,26060,Sáric,26,1,6,1,26060
22,09/02/2021,26023,Cumpas,69,1,5,1,26023
50,10/02/2021,26052,Sahuaripa,128,2,4,1,26052
63,10/02/2021,26065,Tubutama,6,1,4,1,26065
34,11/02/2021,26035,Imuris,92,1,3,1,26035
67,11/02/2021,26069,Yécora,39,2,3,1,26069
69,11/02/2021,26071,Benito Juárez,163,1,3,1,26071
56,12/02/2021,26058,Santa Ana,342,1,2,1,26058
2,13/02/2021,26002,Agua Prieta,1125,2,1,1,26002
18,13/02/2021,26019,Cananea,1841,3,1,1,26019
19,13/02/2021,26020,Carbó,13,1,1,1,26020
30,13/02/2021,26031,Huachinera,7,1,1,1,26031
35,13/02/2021,26036,Magdalena,529,1,1,1,26036
55,13/02/2021,26057,San Pedro de la Cueva,13,1,1,1,26057
70,13/02/2021,26072,San Ignacio Río Muerto,149,3,1,1,26072
3,14/02/2021,26003,Álamos,201,2,0,1,26003
11,14/02/2021,26012,Bácum,266,2,0,1,26012
13,14/02/2021,26014,Baviácora,131,3,0,1,26014
16,14/02/2021,26017,Caborca,2606,3,0,1,26017
17,14/02/2021,26018,Cajeme,8768,79,0,1,26018
24,14/02/2021,26025,Empalme,1057,11,0,1,26025
25,14/02/2021,26026,Etchojoa,649,3,0,1,26026
28,14/02/2021,26029,Guaymas,2854,11,0,1,26029
29,14/02/2021,26030,Hermosillo,30818,50,0,1,26030
32,14/02/2021,26033,Huatabampo,1225,2,0,1,26033
40,14/02/2021,26042,Navojoa,2781,4,0,1,26042
41,14/02/2021,26043,Nogales,4258,5,0,1,26043
45,14/02/2021,26047,Pitiquito,187,1,0,1,26047
46,14/02/2021,26048,Puerto Peñasco,455,3,0,1,26048
49,14/02/2021,26051,Rosario,61,1,0,1,26051
53,14/02/2021,26055,San Luis Río Colorado,2911,9,0,1,26055
