"","Fecha","Pruebas","Confirmados","Descartados","C_M","C_H","Decesos","D_M","D_H","Pacientes_Curados","Ambulatorios","Hospitalizados","Estables","Graves","Criticos","Ambulatorios.Activos","Ambulatorios.Seguimiento.Terminado","Recuperados","C_IMSS","C_SSA","C_ISSSTESON","C_ISSSTE","C_SEDENA","C_SEMAR","C_PEMEX","D_IMSS","D_SSA","D_ISSSTESON","D_ISSSTE","D_SEDENA","D_SEMAR","Positividad.acum","diasemana","Casos.semana","Decesos.semana","Pruebas.semana","Recuperados.semana","Positividad.semanal","MUNICIPIO.x","casos.hmo","MUNICIPIO.y","decesos.hmo","casos.resto","decesos.resto","POB","mortalidad","incidencia"
"1",2020-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"martes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2944840,NA,NA
"2",2020-03-17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"martes",NA,NA,NA,NA,NA,"Hermosillo",0,NA,NA,NA,NA,2944840,NA,NA
"3",2020-03-24,62,5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,"martes",4,NA,NA,NA,NA,"Hermosillo",1,NA,NA,3,NA,2944840,NA,0.1
"4",2020-03-31,259,18,118,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,"martes",13,NA,197,NA,6.6,"Hermosillo",6,NA,NA,7,NA,2944840,NA,0.4
"5",2020-04-07,448,39,409,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,"martes",21,NA,189,NA,11.1,"Hermosillo",7,"Hermosillo",0,14,NA,2944840,NA,0.7
"6",2020-04-14,NA,97,NA,51,46,12,10,2,6,66,13,6,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"martes",58,7,NA,NA,NA,"Hermosillo",10,"Hermosillo",1,48,6,2944840,2.4,2
"7",2020-04-21,836,165,671,NA,NA,17,13,4,12,124,12,5,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,"martes",68,5,NA,NA,NA,"Hermosillo",2,"Hermosillo",1,66,4,2944840,1.7,2.3
"8",2020-04-28,1253,267,986,135,132,31,NA,NA,42,181,13,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,"martes",102,14,417,NA,24.5,"Hermosillo",28,"Hermosillo",1,74,13,2944840,4.8,3.5
"9",2020-05-05,1553,392,1161,NA,NA,41,NA,NA,61,266,24,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,"martes",125,10,300,NA,41.7,"Hermosillo",45,"Hermosillo",0,80,10,2944840,3.4,4.2
"10",2020-05-12,2132,686,1446,300,386,55,31,24,91,483,57,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,"martes",294,14,579,NA,50.8,"Hermosillo",110,"Hermosillo",3,184,11,2944840,4.8,10
